Branta bernicla,Brent goose
Branta canadensis,Canada goose
Branta leucopsis,Barnacle goose
Anser anser,Greylag goose
Anser fabalis,Bean goose
Anser brachyrhynchus,Pink-footed goose
Anser albifrons,White-fronted goose
Cygnus olor,Mute swan
Cygnus columbianus,Bewick's swan
Cygnus cygnus,Whooper swan
Tadorna tadorna,Shelduck
Anas querquedula,Garganey
Anas clypeata,Shoveler
Anas strepera,Gadwall
Anas penelope,Wigeon
Anas platyrhynchos,Mallard
Anas acuta,Pintail
Anas crecca,Teal
Aythya ferina,Pochard
Aythya fuligula,Tufted duck
Aythya marila,Scaup
Somateria mollissima,Eider
Melanitta fusca,Velvet scoter
Melanitta nigra,Common scoter
Clangula hyemalis,Long-tailed duck
Bucephala clangula,Goldeneye
Mergus merganser,Goosander
Mergus serrator,Red-breasted merganser
Lagopus lagopus,Red grouse
Lagopus muta,Ptarmigan
Tetrao urogallus,Capercaillie
Tetrao tetrix,Black grouse
Perdix perdix,Grey partridge
Phasianus colchicus,Pheasant
Coturnix coturnix,Quail
Alectoris rufa,Red-legged partridge
Caprimulgus europaeus,Nightjar
Apus apus,Swift
Cuculus canorus,Cuckoo
Columba livia,Rock dove/Feral pigeon
Columba oenas,Stock dove
Columba palumbus,Woodpigeon
Streptopelia decaocto,Collared dove
Rallus aquaticus,Water rail
Crex crex,Corncrake
Porzana porzana,Spotted crake
Gallinula chloropus,Moorhen
Fulica atra,Coot
Grus grus,Crane
Tachybaptus ruficollis,Little grebe
Podiceps grisegena,Red-necked grebe
Podiceps cristatus,Great crested grebe
Podiceps auritus,Slavonian grebe
Podiceps nigricollis,Black-necked grebe
Haematopus ostralegus,Oystercatcher
Vanellus vanellus,Lapwing
Pluvialis apricaria,Golden plover
Pluvialis squatarola,Grey plover
Charadrius hiaticula,Ringed plover
Charadrius dubius,Little ringed plover
Charadrius morinellus,Dotterel
Numenius phaeopus,Whimbrel
Numenius arquata,Curlew
Limosa lapponica,Bar-tailed godwit
Limosa limosa,Black-tailed godwit
Arenaria interpres,Turnstone
Calidris canutus,Knot
Philomachus pugnax,Ruff
Calidris ferruginea,Curlew sandpiper
Calidris alba,Sanderling
Calidris alpina,Dunlin
Calidris maritima,Purple sandpiper
Calidris minuta,Little stint
Scolopax rusticola,Woodcock
Lymnocryptes minimus,Jack snipe
Gallinago gallinago,Snipe
Phalaropus lobatus,Red-necked phalarope
Phalaropus fulicarius,Grey phalarope
Actitis hypoleucos,Common sandpiper
Tringa ochropus,Green sandpiper
Tringa totanus,Redshank
Tringa glareola,Wood sandpiper
Tringa erythropus,Spotted redshank
Tringa nebularia,Greenshank
Rissa tridactyla,Kittiwake
Larus ridibundus,Black-headed gull
Larus minutus,Little gull
Larus canus,Common gull
Larus marinus,Great black-backed gull
Larus hyperboreus,Glaucous gull
Larus glaucoides,Iceland gull
Larus argentatus,Herring gull
Larus fuscus,Lesser black-backed gull
Thalasseus sandvicensis,Sandwich tern
Sterna albifrons,Little tern
Sterna hirundo,Common tern
Sterna paradisaea,Arctic tern
Chlidonias niger,Black tern
Stercorarius skua,Great skua
Stercorarius pomarinus,Pomarine skua
Stercorarius parasiticus,Arctic skua
Stercorarius longicaudus,Long-tailed skua
Alle alle,Little auk
Uria aalge,Guillemot
Alca torda,Razorbill
Cepphus grylle,Black guillemot
Fratercula arctica,Puffin
Gavia stellata,Red-throated diver
Gavia arctica,Black-throated diver
Gavia immer,Great northern diver
Hydrobates pelagicus,Storm petrel
Hydrobates leucorhoa,Leach's petrel
Fulmarus glacialis,Fulmar
Puffinus griseus,Sooty shearwater
Puffinus puffinus,Manx shearwater
Morus bassanus,Gannet
Phalacrocorax carbo,Cormorant
Phalacrocorax aristotelis,Shag
Ardea cinerea,Grey heron
Egretta garzetta,Little egret
Pandion haliaetus,Osprey
Pernis apivorus,Honey buzzard
Haliaeetus albicilla,White-tailed eagle
Aquila chrysaetos,Golden eagle
Accipiter gentilis,Goshawk
Accipiter nisus,Sparrowhawk
Circus aeruginosus,Marsh Harrier
Circus cyaneus,Hen harrier
Milvus milvus,Red kite
Buteo buteo,Buzzard
Tyto alba,Barn owl
Athene noctua,Little owl
Asio otus,Long-eared owl
Asio flammeus,Short-eared owl
Strix aluco,Tawny owl
Alcedo atthis,Kingfisher
Dendrocopos major,Great spotted woodpecker
Picus viridis,Green woodpecker
Falco tinnunculus,Kestrel
Falco columbarius,Merlin
Falco peregrinus,Peregrine
Lanius collurio,Red-backed shrike
Garrulus glandarius,Jay
Pica pica,Magpie
Pyrrhocorax pyrrhocorax,Chough
Corvus monedula,Jackdaw
Corvus frugilegus,Rook
Corvus corone,Carrion crow
Corvus cornix,Hooded crow
Corvus corax,Raven
Bombycilla garrulus,Waxwing
Periparus ater,Coal tit
Lophophanes cristatus,Crested tit
Poecile palustris,Marsh tit
Poecile montanus,Willow tit
Parus caeruleus,Blue tit
Parus major,Great tit
Panurus biarmicus,Bearded tit
Alauda arvensis,Skylark
Eremophila alpestris,Shore Lark
Riparia riparia,Sand martin
Hirundo rustica,Swallow
Delichon urbicum,House martin
Aegithalos caudatus,Long-tailed tit
Phylloscopus sibilatrix,Wood warbler
Phylloscopus inornatus,Yellow-browed warbler
Phylloscopus trochilus,Willow warbler
Phylloscopus collybita,Chiffchaff
Acrocephalus schoenobaenus,Sedge warbler
Acrocephalus scirpaceus,Reed warbler
Locustella naevia,Grasshopper warbler
Sylvia atricapilla,Blackcap
Sylvia borin,Garden warbler
Sylvia curruca,Lesser whitethroat
Sylvia communis,Whitethroat
Regulus regulus,Goldcrest
Troglodytes troglodytes,Wren
Sitta europaea,Nuthatch
Certhia familiaris,Treecreeper
Sturnus vulgaris,Starling
Turdus philomelos,Song thrush
Turdus viscivorus,Mistle thrush
Turdus iliacus,Redwing
Turdus merula,Blackbird
Turdus pilaris,Fieldfare
Turdus torquatus,Ring ouzel
Muscicapa striata,Spotted flycatcher
Ficedula hypoleuca,Pied flycatcher
Erithacus rubecula,Robin
Luscinia svecica,Bluethroat
Phoenicurus ochruros,Black redstart
Phoenicurus phoenicurus,Redstart
Saxicola rubetra,Whinchat
Saxicola rubicola,Stonechat
Oenanthe oenanthe,Wheatear
Cinclus cinclus,Dipper
Passer montanus,Tree sparrow
Passer domesticus,House sparrow
Prunella modularis,Dunnock
Motacilla flava,Yellow wagtail
Motacilla cinerea,Grey wagtail
Motacilla alba,Pied Wagtail
Anthus pratensis,Meadow pipit
Anthus trivialis,Tree pipit
Anthus petrosus,Rock pipit
Fringilla coelebs,Chaffinch
Fringilla montifringilla,Brambling
Coccothraustes coccothraustes,Hawfinch
Pyrrhula pyrrhula,Bullfinch
Carpodacus erythrinus,Rosefinch
Chloris chloris,Greenfinch
Carduelis flavirostris,Twite
Carduelis cannabina,Linnet
Carduelis flammea,Redpoll
Loxia pytyopsittacus,Parrot crossbill
Loxia scotica,Scottish crossbill
Loxia curvirostra,Common crossbill
Carduelis carduelis,Goldfinch
Carduelis spinus,Siskin
Calcarius lapponicus,Lapland bunting
Plectrophenax nivalis,Snow bunting
Emberiza calandra,Corn bunting
Emberiza citrinella,Yellowhammer
Emberiza schoeniclus,Reed bunting
